,,,,,,,,,,,,,,,
Table 1.  Value of Manufacturers' Shipments for Industry Groups1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Manufacturers' Shipments, Inventories, and Orders Survey.]  ",,,,,,,,,,,,,,,
,,Seasonally Adjusted,,,,,,Not Seasonally Adjusted ,,,,,,,
      Dairy products……………...……...…….,,"10,619","10,498","10,507",1.2,-0.1,-1.8,"10,960","10,531","10,601","10,902","105,033","102,719",2.3,
"      Meat, poultry, and seafood products…",,"18,066","18,032","17,957",0.2,0.4,-1.2,"18,472","18,057","18,303","19,765","185,167","195,827",-5.4,
  Beverage and tobacco products…………….,,"13,439","13,819","13,499",-2.7,2.4,1.4,"13,561","14,212","13,967","13,456","132,696","134,795",-1.6,
      Beverages………………..….…..…………,,"9,479","9,422","9,304",0.6,1.3,-1.5,"9,601","9,815","9,772","9,476","93,690","93,096",0.6,
      Tobacco……...……..…….………………..,,"3,960","4,397","4,195",-9.9,4.8,8.4,"3,960","4,397","4,195","3,980","39,006","41,699",-6.5,
  Textile mills………………….…………………,,"2,204","2,193","2,165",0.5,1.3,2.7,"2,267","2,212","2,290","2,386","21,638","23,692",-8.7,
  Textile products………..……………………,,"1,838","1,878","1,835",-2.1,2.3,4.1,"1,911","1,869","1,913","2,044","18,392","20,471",-10.2,
  Apparel……………………..……..…………..,,870,881,839,-1.2,5.0,-3.6,"1,009",932,910,"1,060","8,629","9,032",-4.5,
  Leather and allied products………………….,,435,437,438,-0.5,-0.2,5.0,441,427,433,406,"3,907","4,047",-3.5,
  Paper products…………………….……..…..,,"16,698","16,433","16,411",1.6,0.1,0.9,"17,242","16,914","16,896","16,978","164,250","162,916",0.8,
"      Pulp, paper, and paperboard mills....…",,"6,559","6,616","6,560",-0.9,0.9,1.6,"6,708","6,880","6,847","6,827","65,869","65,871",0.0,
      Paperboard containers……..…………….,,"5,990","6,031","6,052",-0.7,-0.3,1.2,"6,303","6,239","6,225","6,213","59,452","58,590",1.5,
  Printing…………………...………….…….…..,,"7,094","6,918","6,846",2.5,1.1,-2.6,"7,632","7,261","6,888","8,046","69,350","71,412",-2.9,
  Petroleum and coal products………………,,"39,822","39,519","39,531",0.8,0.0,4.0,"39,844","39,549","41,717","55,863","389,887","556,330",-29.9,
      Petroleum refineries………...……..……,,"35,584","35,348","35,418",0.7,-0.2,4.3,"35,178","34,825","36,872","51,138","347,228","512,557",-32.3,
  Chemical products……..……………..…………,,"69,382","68,613","68,210",1.1,0.6,0.5,"68,910","69,907","68,278","68,885","680,101","677,789",0.3,
"      Pesticides, fertilizers, and other",,,,,,,,,,,,,,,
          agricultural chemicals….…...………....,,"2,879","2,712","2,702",6.2,0.4,-1.9,"2,315","2,506","2,298","2,249","28,065","29,648",-5.3,
      Pharmaceuticals and medicines………….,,"25,432","25,402","25,408",0.1,0.0,0.6,"25,402","26,867","25,320","23,859","246,444","222,352",10.8,
"      Paints, coatings, and adhesives…....…",,"4,712","4,731","4,609",-0.4,2.6,4.1,"4,764","4,775","4,803","4,584","45,620","44,178",3.3,
  Plastics and rubber products…...…………,,"19,977","19,822","19,779",0.8,0.2,0.9,"20,805","20,308","20,227","21,487","199,551","208,399",-4.2,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"p Preliminary 
r Revised data due to late receipts and concurrent seasonal adjustment.  
1 Estimates of shipments and new orders are for the duration of the period, while estimates of unfilled orders and total inventories are for the end of the period. Not seasonally adjusted estimates of shipments and new orders include adjusted data for non-calendar reporters. Seasonally adjusted estimates include concurrent adjustments for holiday and trading-day differences, where appropriate, as well as seasonal variation, based on the results of the latest annual review of the model parameters. Estimates are not adjusted for price changes.        
2 Estimates and percent changes of shipments for the semiconductor industry are included in computers and electronic products, and all other applicable aggregate totals.  
Note:  Estimates of manufacturers' shipments, inventories and orders are subject to survey error and revision.  One major component of survey error is nonsampling error, which includes errors of coverage, response, and nonreporting.  Since the survey panel is not a probability sample, estimates of sampling error cannot be calculated.  For further details on survey design, methodology, and data limitations see <http://www.census.gov/manufacturing/m3/>.        
Source: U.S. Census Bureau, Manufacturers’ Shipments, Inventories, and Orders (M3) Survey, October Full Report,  December 4, 2020.  Information on data sources and methodology can be found on our website at <www.census.gov/manufacturing/m3/how_the_data_are_collected/index.html>. 
",,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
